Id,Label,timeset,label3,module,kingdom,phylum,class,order,family,genus,species,name,abun,modularity_class
Zotu9243,Zotu9243,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured,uncultured bacterium,Zotu9243,0.000457,1
Zotu93,Zotu93,,other,1,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,4-29,uncultured bacterium,NA,Zotu93,0.000345,11
Zotu938,Zotu938,,other,4,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,uncultured,uncultured bacterium,Zotu938,0.000285,4
Zotu1941,Zotu1941,,diff,4,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,uncultured,uncultured bacterium,Zotu1941,0.000144,4
Zotu94,Zotu94,,other,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,BIrii41,NA,NA,Zotu94,0.002151,13
Zotu9486,Zotu9486,,other,2,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured,uncultured bacterium,Zotu9486,0.000549,5
Zotu622,Zotu622,,other,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiaceae,Mangroviflexus,uncultured bacterium,Zotu622,0.000278,5
Zotu968,Zotu968,,other,1,Bacteria,Bacteroidetes,SB-5,uncultured bacterium,NA,NA,NA,Zotu968,0.000192,13
Zotu976,Zotu976,,other,0,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Vogesella,uncultured bacterium,Zotu976,0.000295,28
Zotu1909,Zotu1909,,other,0,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Vogesella,uncultured bacterium,Zotu1909,0.000119,28
Zotu98,Zotu98,,other,3,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Sideroxydans,NA,Zotu98,0.001763,11
Zotu708,Zotu708,,other,3,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Sideroxydans,uncultured bacterium,Zotu708,0.000254,11
Zotu9875,Zotu9875,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured,uncultured bacterium,Zotu9875,0.002421,5
