"","sample_id","all_reads","all_reads_nonbacteria","all_reads_bacteria","all_reads_bacteria_per","SampleID","Experiment","Timepoint","Variety","Compartment","Treatment","Sample","MergeExpTime"
"16","E1_MRE_Int3_1",72934,409,72525,"99.4392%","E1_MRE_Int3_1","Exp1","day3","MH63","Root","Intact","E1_MRE_Int3","Exp1_day3"
"17","E1_MRE_Int3_2",63964,200,63764,"99.6873%","E1_MRE_Int3_2","Exp1","day3","MH63","Root","Intact","E1_MRE_Int3","Exp1_day3"
"18","E1_MRE_Int3_3",66871,313,66558,"99.5319%","E1_MRE_Int3_3","Exp1","day3","MH63","Root","Intact","E1_MRE_Int3","Exp1_day3"
"19","E1_MRE_Int5_1",63743,301,63442,"99.5278%","E1_MRE_Int5_1","Exp1","day5","MH63","Root","Intact","E1_MRE_Int5","Exp1_day5"
"20","E1_MRE_Int5_2",85335,434,84901,"99.4914%","E1_MRE_Int5_2","Exp1","day5","MH63","Root","Intact","E1_MRE_Int5","Exp1_day5"
"21","E1_MRE_Int5_3",85160,1265,83895,"98.5146%","E1_MRE_Int5_3","Exp1","day5","MH63","Root","Intact","E1_MRE_Int5","Exp1_day5"
"22","E1_MRE_Int7_1",47601,290,47311,"99.3908%","E1_MRE_Int7_1","Exp1","day7","MH63","Root","Intact","E1_MRE_Int7","Exp1_day7"
"23","E1_MRE_Int7_2",38199,1056,37143,"97.2355%","E1_MRE_Int7_2","Exp1","day7","MH63","Root","Intact","E1_MRE_Int7","Exp1_day7"
"24","E1_MRE_Int7_3",40943,1181,39762,"97.1155%","E1_MRE_Int7_3","Exp1","day7","MH63","Root","Intact","E1_MRE_Int7","Exp1_day7"
"25","E1_MRS_Def1_1",78801,611,78190,"99.2246%","E1_MRS_Def1_1","Exp1","day1","MH63","Rhizosphere","Defoliation","E1_MRS_Def1","Exp1_day1"
"26","E1_MRS_Def1_2",60340,414,59926,"99.3139%","E1_MRS_Def1_2","Exp1","day1","MH63","Rhizosphere","Defoliation","E1_MRS_Def1","Exp1_day1"
"27","E1_MRS_Def1_3",72645,487,72158,"99.3296%","E1_MRS_Def1_3","Exp1","day1","MH63","Rhizosphere","Defoliation","E1_MRS_Def1","Exp1_day1"
"28","E1_MRS_Def3_1",55423,493,54930,"99.1105%","E1_MRS_Def3_1","Exp1","day3","MH63","Rhizosphere","Defoliation","E1_MRS_Def3","Exp1_day3"
"29","E1_MRS_Def3_2",63978,568,63410,"99.1122%","E1_MRS_Def3_2","Exp1","day3","MH63","Rhizosphere","Defoliation","E1_MRS_Def3","Exp1_day3"
"30","E1_MRS_Def3_3",58244,493,57751,"99.1536%","E1_MRS_Def3_3","Exp1","day3","MH63","Rhizosphere","Defoliation","E1_MRS_Def3","Exp1_day3"
"31","E1_MRS_Def5_1",62465,474,61991,"99.2412%","E1_MRS_Def5_1","Exp1","day5","MH63","Rhizosphere","Defoliation","E1_MRS_Def5","Exp1_day5"
"32","E1_MRS_Def5_2",86536,773,85763,"99.1067%","E1_MRS_Def5_2","Exp1","day5","MH63","Rhizosphere","Defoliation","E1_MRS_Def5","Exp1_day5"
"33","E1_MRS_Def5_3",62992,510,62482,"99.1904%","E1_MRS_Def5_3","Exp1","day5","MH63","Rhizosphere","Defoliation","E1_MRS_Def5","Exp1_day5"
"34","E1_MRS_Def7_1",79008,605,78403,"99.2343%","E1_MRS_Def7_1","Exp1","day7","MH63","Rhizosphere","Defoliation","E1_MRS_Def7","Exp1_day7"
"35","E1_MRS_Def7_2",55587,359,55228,"99.3542%","E1_MRS_Def7_2","Exp1","day7","MH63","Rhizosphere","Defoliation","E1_MRS_Def7","Exp1_day7"
"36","E1_MRS_Def7_3",87945,703,87242,"99.2006%","E1_MRS_Def7_3","Exp1","day7","MH63","Rhizosphere","Defoliation","E1_MRS_Def7","Exp1_day7"
"37","E1_MRS_Int1_1",94215,711,93504,"99.2453%","E1_MRS_Int1_1","Exp1","day1","MH63","Rhizosphere","Intact","E1_MRS_Int1","Exp1_day1"
"38","E1_MRS_Int1_2",91871,597,91274,"99.3502%","E1_MRS_Int1_2","Exp1","day1","MH63","Rhizosphere","Intact","E1_MRS_Int1","Exp1_day1"
"39","E1_MRS_Int1_3",74867,454,74413,"99.3936%","E1_MRS_Int1_3","Exp1","day1","MH63","Rhizosphere","Intact","E1_MRS_Int1","Exp1_day1"
"40","E1_MRS_Int3_1",50661,456,50205,"99.0999%","E1_MRS_Int3_1","Exp1","day3","MH63","Rhizosphere","Intact","E1_MRS_Int3","Exp1_day3"
"41","E1_MRS_Int3_2",65712,508,65204,"99.2269%","E1_MRS_Int3_2","Exp1","day3","MH63","Rhizosphere","Intact","E1_MRS_Int3","Exp1_day3"
"42","E1_MRS_Int3_3",59734,546,59188,"99.0859%","E1_MRS_Int3_3","Exp1","day3","MH63","Rhizosphere","Intact","E1_MRS_Int3","Exp1_day3"
"43","E1_MRS_Int5_1",65427,587,64840,"99.1028%","E1_MRS_Int5_1","Exp1","day5","MH63","Rhizosphere","Intact","E1_MRS_Int5","Exp1_day5"
"44","E1_MRS_Int5_2",107345,902,106443,"99.1597%","E1_MRS_Int5_2","Exp1","day5","MH63","Rhizosphere","Intact","E1_MRS_Int5","Exp1_day5"
"45","E1_MRS_Int5_3",74497,597,73900,"99.1986%","E1_MRS_Int5_3","Exp1","day5","MH63","Rhizosphere","Intact","E1_MRS_Int5","Exp1_day5"
"46","E1_MRS_Int7_1",60340,509,59831,"99.1564%","E1_MRS_Int7_1","Exp1","day7","MH63","Rhizosphere","Intact","E1_MRS_Int7","Exp1_day7"
"47","E1_MRS_Int7_2",59883,628,59255,"98.9513%","E1_MRS_Int7_2","Exp1","day7","MH63","Rhizosphere","Intact","E1_MRS_Int7","Exp1_day7"
"48","E1_MRS_Int7_3",34114,279,33835,"99.1822%","E1_MRS_Int7_3","Exp1","day7","MH63","Rhizosphere","Intact","E1_MRS_Int7","Exp1_day7"
"49","E1_NRE_Def1_1",31086,802,30284,"97.4201%","E1_NRE_Def1_1","Exp1","day1","NIP","Root","Defoliation","E1_NRE_Def1","Exp1_day1"
"50","E1_NRE_Def1_2",16901,553,16348,"96.728%","E1_NRE_Def1_2","Exp1","day1","NIP","Root","Defoliation","E1_NRE_Def1","Exp1_day1"
"51","E1_NRE_Def1_3",139634,4145,135489,"97.0315%","E1_NRE_Def1_3","Exp1","day1","NIP","Root","Defoliation","E1_NRE_Def1","Exp1_day1"
"52","E1_NRE_Def3_1",35574,1841,33733,"94.8249%","E1_NRE_Def3_1","Exp1","day3","NIP","Root","Defoliation","E1_NRE_Def3","Exp1_day3"
"53","E1_NRE_Def3_2",53200,1729,51471,"96.75%","E1_NRE_Def3_2","Exp1","day3","NIP","Root","Defoliation","E1_NRE_Def3","Exp1_day3"
"54","E1_NRE_Def3_3",48956,1628,47328,"96.6746%","E1_NRE_Def3_3","Exp1","day3","NIP","Root","Defoliation","E1_NRE_Def3","Exp1_day3"
"55","E1_NRE_Def5_1",41744,1364,40380,"96.7325%","E1_NRE_Def5_1","Exp1","day5","NIP","Root","Defoliation","E1_NRE_Def5","Exp1_day5"
