"label","id","labelDiff","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu1923","Zotu1923","other","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,"Zotu1923",0.000163596591883355
"Zotu1924","Zotu1924","other","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfarculales","Desulfarculaceae","Desulfatiglans","uncultured bacterium","Zotu1924",0.000117350816170914
"Zotu193","Zotu193","diff","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia Incertae Sedis","Prolixibacteraceae","Prolixibacter","uncultured bacterium","Zotu193",0.000217217249280789
"Zotu1933","Zotu1933","other","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured",NA,"Zotu1933",0.000104497599103242
"Zotu1934","Zotu1934","other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylocaldum","uncultured bacterium","Zotu1934",0.000108273334274041
"Zotu196","Zotu196","other","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA,"Zotu196",0.00113679826982808
"Zotu1966","Zotu1966","other","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","uncultured",NA,"Zotu1966",0.000152417629940728
"Zotu1992","Zotu1992","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","uncultured","uncultured bacterium","Zotu1992",0.000219414383303522
"Zotu2","Zotu2","diff","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42",NA,NA,"Zotu2",0.0095198784249598
"Zotu200","Zotu200","other","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","uncultured",NA,"Zotu200",0.000782435082766034
"Zotu2014","Zotu2014","other","Bacteria","Proteobacteria","Deltaproteobacteria","Sva0485","uncultured bacterium",NA,NA,"Zotu2014",0.000110153099794335
"Zotu203","Zotu203","other","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured","uncultured bacterium","Zotu203",0.00107396516440453
"Zotu205","Zotu205","other","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured bacterium","Zotu205",0.00124664348921685
"Zotu2051","Zotu2051","other","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","PS-B29","uncultured organism",NA,"Zotu2051",0.000107839677070278
"Zotu206","Zotu206","other","Bacteria","Chloroflexi","JG30-KF-CM66",NA,NA,NA,NA,"Zotu206",0.00111717742343334
"Zotu2079","Zotu2079","other","Bacteria","Acidobacteria","Subgroup 22","uncultured bacterium",NA,NA,NA,"Zotu2079",0.000126781622791922
"Zotu208","Zotu208","other","Bacteria","Bacteroidetes","WCHB1-32","uncultured bacterium",NA,NA,NA,"Zotu208",0.000635568225472799
"Zotu2099","Zotu2099","other","Bacteria","Aerophobetes",NA,NA,NA,NA,NA,"Zotu2099",0.000122871886895313
"Zotu21","Zotu21","diff","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Gallionellaceae","Sideroxydans",NA,"Zotu21",0.00302230549441006
"Zotu211","Zotu211","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Variibacter","uncultured bacterium","Zotu211",0.000759865468023007
"Zotu2116","Zotu2116","other","Bacteria","Bacteroidetes","BSV13","uncultured bacterium",NA,NA,NA,"Zotu2116",0.00011072326551993
"Zotu212","Zotu212","diff","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium",NA,"Zotu212",0.000668343291978515
