"","logFC","logCPM","F","PValue","fdr","Experiment","Compartment","Variety","rel.TP1","rel.TP2","rel.TP3","rel.TP4","rel.Intact","rel.Defoliation","module_name"
"module17",0.608806934152662,14.7606397467219,6.6700372367962,0.0159179328541426,0.119384496406069,"Exp1","Root","NIP",3207.33333333333,514.333333333333,1591.5,1596.16666666667,1882.58333333333,1572.08333333333,"module17"
"module20",0.511176402605367,9.43617048450503,2.2206968865211,0.148444941205337,0.44533482361601,"Exp1","Root","NIP",100.333333333333,16.8333333333333,16.1666666666667,24.3333333333333,47.5833333333333,31.25,"module20"
"module19",0.667968270888175,10.8143123047446,3.33424345564586,0.0795908211258975,0.298465579222116,"Exp1","Root","NIP",94.6666666666667,101.333333333333,94.3333333333333,106.5,95.1666666666667,103.25,"module19"
"module23",0.73926264922918,9.06391293887172,4.77155993166243,0.0383350564811668,0.230010338887001,"Exp1","Root","NIP",56.1666666666667,27,30.5,27.6666666666667,33.0833333333333,37.5833333333333,"module23"
"module24",-0.0546707267894398,9.94440790889412,0.0578615983454182,0.811832759471945,0.930537737637114,"Exp1","Root","NIP",68.8333333333333,31.8333333333333,84.1666666666667,88.8333333333333,85.4166666666667,51.4166666666667,"module24"
"module26",-0.12660105289733,12.6177204636968,0.200018529311104,0.658483884997634,0.897932570451319,"Exp1","Root","NIP",230,274,598.833333333333,652,529.833333333333,347.583333333333,"module26"
"module27",-0.43208366226073,8.99930380644665,1.27763239237442,0.26886558095085,0.694515466345673,"Exp1","Root","NIP",29.3333333333333,8.33333333333333,55,53.5,52.8333333333333,20.25,"module27"
"module28",-0.613481030887192,7.40110509600044,0.500774552526826,0.485581652722483,0.833348903431639,"Exp1","Root","NIP",23.3333333333333,3.83333333333333,9.66666666666667,6.83333333333333,17.3333333333333,4.5,"module28"
"module_other1",-0.229919784307679,18.6053380262237,1.11014236322958,0.302478046178038,0.643374904302346,"Exp1","Root","MH63",14550.1666666667,31855,32540.6666666667,18299.6666666667,25555.8333333333,23066.9166666667,"module_other"
"module31",-2.13422350880585,5.61191365852298,3.48580681506409,0.0827493595137587,0.248248078541276,"Exp1","Root","MH63",3.33333333333333,0,0.666666666666667,0,1.83333333333333,0.166666666666667,"module3"
"module01",0.171935460702132,10.4849899856725,0.0441783518127668,0.835285186940007,0.963790600315392,"Exp1","Root","MH63",167.166666666667,11,68.1666666666667,28.1666666666667,55.5,81.75,"module0"
"module51",0.731559105460433,17.1639302924441,7.64427645264818,0.0107360394842441,0.09005381653719,"Exp1","Root","MH63",12210.6666666667,5626,7612.5,5521.33333333333,6436.16666666667,9049.08333333333,"module5"
"module110",0.425880495059142,11.5273526155182,0.563927654446246,0.45993661899506,0.726215714202726,"Exp1","Root","MH63",205,46.1666666666667,120.5,209.333333333333,145.333333333333,145.166666666667,"module1"
"module41",-0.711455335077058,15.965460502002,0.566468246774829,0.458939123313036,0.726215714202726,"Exp1","Root","MH63",1077,7706.83333333333,4018.66666666667,2527,4946.16666666667,2718.58333333333,"module4"
"module131",-0.278155601290195,14.7311599771573,1.5638808450617,0.223078023582867,0.557695058957168,"Exp1","Root","MH63",970.666666666667,2769.5,2016.16666666667,1144.5,1755.83333333333,1694.58333333333,"module13"
"module29",-0.756286714130072,8.2107402395511,3.83845140903585,0.06173040414297,0.208279803748258,"Exp1","Root","MH63",6.33333333333333,30,21,10.3333333333333,19.9166666666667,13.9166666666667,"module2"
"module221",-0.0651767386653078,12.6113771270672,0.0244765605872318,0.876978820258055,0.965579743734896,"Exp1","Root","MH63",63.1666666666667,308,806.166666666667,322.833333333333,399.916666666667,350.166666666667,"module22"
"module111",0.819716362801842,17.6126909052192,7.01287866222315,0.0140365108570819,0.09005381653719,"Exp1","Root","MH63",13965.6666666667,12818.1666666667,7950.16666666667,7180.66666666667,8229.25,12728.0833333333,"module11"
"module61",-0.0294211745773658,8.54191663586481,0.00358177380793687,0.952769211868855,0.965579743734896,"Exp1","Root","MH63",31.3333333333333,15.8333333333333,21,9.16666666666667,22.5,16.1666666666667,"module6"
"module71",1.03510710286993,9.9435099228748,5.21992302977383,0.0314052291149057,0.134593839063882,"Exp1","Root","MH63",19,108.666666666667,59.1666666666667,69.3333333333333,36.6666666666667,91.4166666666667,"module7"
"module251",-0.327439181853662,14.8718176407583,0.984149694010536,0.331011797203314,0.643374904302346,"Exp1","Root","MH63",1039.33333333333,1061.5,2815.16666666667,1927.5,1997.66666666667,1424.08333333333,"module25"
"module91",0.349467228885578,14.7712512657542,0.833591757911436,0.37026029300304,0.653400517064188,"Exp1","Root","MH63",1211.33333333333,2253,1844,1406,1435.58333333333,1921.58333333333,"module9"
"module81",0.159797605584802,13.8685291460327,0.225873636846905,0.638870427867602,0.877071583772655,"Exp1","Root","MH63",1268.16666666667,607.5,974.5,385.833333333333,856.75,761.25,"module8"
"module101",1.06704636606605,16.1304691919767,14.6412874553502,0.000809162695382463,0.0242748808614739,"Exp1","Root","MH63",4876.5,6342.83333333333,2772,2859.83333333333,2927.41666666667,5498.16666666667,"module10"
"module211",-0.906391862594307,12.470138059924,0.935067867582761,0.343133282294585,0.643374904302346,"Exp1","Root","MH63",136.833333333333,699.5,261.5,256.666666666667,460.75,216.5,"module21"
"module181",-0.0146818863902181,13.1854006570971,0.0019011777336971,0.965579743734896,0.965579743734896,"Exp1","Root","MH63",425.5,596.666666666667,1073.16666666667,350.333333333333,535.333333333333,687.5,"module18"
"module121",-1.21777537298828,14.2194643446918,6.44110719199695,0.018010763307438,0.09005381653719,"Exp1","Root","MH63",94.5,885.833333333333,2840.83333333333,805.5,1764.5,548.833333333333,"module12"
"module141",1.14363631247176,8.07950828667564,6.60821621040781,0.0167337763148163,0.09005381653719,"Exp1","Root","MH63",7.5,29.6666666666667,11,18.1666666666667,7.83333333333333,25.3333333333333,"module14"
"module151",-0.197511958787607,11.7894458291072,0.183210153646599,0.672421547559036,0.877071583772655,"Exp1","Root","MH63",244.5,351,198.333333333333,135.666666666667,247.416666666667,217.333333333333,"module15"
"module161",-0.63776991979882,9.75341089194479,3.81471837457514,0.0624839411244774,0.208279803748258,"Exp1","Root","MH63",69,63.1666666666667,44.8333333333333,29.1666666666667,62.5,40.5833333333333,"module16"
"module171",0.0425850795047939,12.9932840973417,0.0116606085901551,0.914900206619489,0.965579743734896,"Exp1","Root","MH63",297.833333333333,607,710.666666666667,403.333333333333,492.25,517.166666666667,"module17"
"module201",-0.200919835532942,8.52646839912814,0.206746143111619,0.653390263588263,0.877071583772655,"Exp1","Root","MH63",5.83333333333333,37.5,34.5,11,23.25,21.1666666666667,"module20"
"module191",-1.28523893738754,13.6063599342691,9.57013605611387,0.00494030095163102,0.0741045142744653,"Exp1","Root","MH63",111.166666666667,783,1552.66666666667,589.666666666667,1099.58333333333,418.666666666667,"module19"
"module231",0.572729848048797,8.81850606874451,1.41102414553185,0.246436989277752,0.56870074448712,"Exp1","Root","MH63",18.8333333333333,48.5,12.5,32.8333333333333,19.5,36.8333333333333,"module23"
"module241",0.078779667733733,9.77130030756952,0.084600671473851,0.773639980227925,0.92836797627351,"Exp1","Root","MH63",56.6666666666667,81.1666666666667,33.8333333333333,35.6666666666667,47.5833333333333,56.0833333333333,"module24"
"module261",-0.159747589792243,7.78858846868845,0.117251152832752,0.73499718214577,0.918746477682213,"Exp1","Root","MH63",8.66666666666667,4.66666666666667,20.6666666666667,11.6666666666667,10.75,12.0833333333333,"module26"
"module271",-0.228318493709237,10.0550590798776,0.248304382186572,0.622778996903655,0.877071583772655,"Exp1","Root","MH63",95,93.8333333333333,40,29.8333333333333,76.9166666666667,52.4166666666667,"module27"
"module281",-1.24000797827826,9.77412034106269,2.67242988324213,0.115068219722344,0.313822417424576,"Exp1","Root","MH63",30.8333333333333,34.6666666666667,33.3333333333333,77,60.8333333333333,27.0833333333333,"module28"
"module_other2",0.302664014853505,18.8452862490827,9.42547326920218,0.00507549544228799,0.0380662158171599,"Exp2","Root","NIP",39752.5,36578,33248.3333333333,39344,34210.6666666667,40250.75,"module_other"
"module32",-0.574596152316009,6.59270936227544,0.211468260227385,0.649567477658547,0.83185412766421,"Exp2","Root","NIP",2.33333333333333,3,0.666666666666667,16.5,8.91666666666667,2.33333333333333,"module3"
"module02",-0.378527158945878,10.2914109894133,2.21121742423709,0.14943392254441,0.373584806361025,"Exp2","Root","NIP",133,133.666666666667,101.5,44.6666666666667,123.666666666667,82.75,"module0"
"module52",-0.195921296512545,16.4271457037687,0.707390297202438,0.408232799301484,0.680387998835807,"Exp2","Root","NIP",8206.16666666667,9354.5,6886.33333333333,4129.83333333333,7566.91666666667,6721.5,"module5"
"module112",-0.393078940910754,11.092187980147,2.32112844753782,0.140096721178343,0.373584806361025,"Exp2","Root","NIP",216.666666666667,219.166666666667,162.333333333333,107.666666666667,194.916666666667,158,"module1"
"module42",0.615572829349071,12.0294732418814,5.11291039716064,0.0326411983540165,0.139890850088642,"Exp2","Root","NIP",322.166666666667,531.666666666667,299.666666666667,239.333333333333,283.583333333333,412.833333333333,"module4"
"module132",0.00918391581936657,16.9902343515569,0.00457544774359109,0.946605161421462,0.974723375517966,"Exp2","Root","NIP",13464.6666666667,12260.3333333333,8231.16666666667,9382.66666666667,10951.3333333333,10718.0833333333,"module13"
"module210",-0.177562331879725,8.8796402943103,0.169703875812552,0.683863121321069,0.83185412766421,"Exp2","Root","NIP",54.1666666666667,40.8333333333333,27.5,22.3333333333333,39,33.4166666666667,"module2"
"module222",0.137756491480398,15.6496281145963,0.183669372196302,0.671884822229235,0.83185412766421,"Exp2","Root","NIP",2826.16666666667,1951,3321.16666666667,6829.16666666667,3660.41666666667,3803.33333333333,"module22"
"module113",-0.160310134014848,16.1546643460771,1.4661799067996,0.237199104795384,0.484871020632254,"Exp2","Root","NIP",6539.5,8643.5,4115.83333333333,5292.33333333333,6454.75,5840.83333333333,"module11"
"module62",0.525150324077767,8.36577014172151,1.33599530840936,0.258597877670536,0.484871020632254,"Exp2","Root","NIP",16.5,26,39.6666666666667,10.1666666666667,17.0833333333333,29.0833333333333,"module6"
"module72",-0.152987423105057,10.2912309722812,0.310521489313418,0.582283447550776,0.83185412766421,"Exp2","Root","NIP",181.166666666667,103.166666666667,58.8333333333333,80,112.916666666667,98.6666666666667,"module7"
"module252",-0.369081893379881,12.0704052085631,2.25655831790807,0.145495126002986,0.373584806361025,"Exp2","Root","NIP",322.5,373.833333333333,329.166666666667,328.5,380.083333333333,296.916666666667,"module25"
"module92",-0.0345946840697186,15.1211967669071,0.0257900907644432,0.873696246208023,0.958525569826945,"Exp2","Root","NIP",3981,2948.66666666667,2344.33333333333,2393.66666666667,2884.41666666667,2949.41666666667,"module9"
"module82",-0.199826001221372,13.4746705267406,0.820599397225737,0.373597172461034,0.659289127872413,"Exp2","Root","NIP",788.833333333333,822.833333333333,953.333333333333,974.333333333333,942.166666666667,827.5,"module8"
"module102",0.0873149216460153,15.5168640323928,0.182145753560487,0.673164826403502,0.83185412766421,"Exp2","Root","NIP",4416.5,5966,3035.33333333333,2348.5,3842.41666666667,4040.75,"module10"
"module212",0.973030245809859,10.1247952998394,2.33061019803099,0.139324154037303,0.373584806361025,"Exp2","Root","NIP",66.8333333333333,108.5,68.8333333333333,109.833333333333,64.5,112.5,"module21"
"module182",-0.951544030324866,12.7500225974403,11.4621473092928,0.00233524435341455,0.0342915158572009,"Exp2","Root","NIP",511,823.5,415.666666666667,501,748.5,377.083333333333,"module18"
"module122",1.40643751718,15.9006290003049,6.55622669345016,0.0168288865400672,0.0841444327003362,"Exp2","Root","NIP",3173,2051.5,4799.83333333333,6974.66666666667,2184.66666666667,6314.83333333333,"module12"
"module142",0.170944559315653,10.7652062054008,0.485662079007394,0.492256894153263,0.777247727610416,"Exp2","Root","NIP",188,168.166666666667,134.5,78.1666666666667,145.666666666667,138.75,"module14"
"module152",-0.13460228860393,12.5470125145443,0.159252835001324,0.693211773053509,0.83185412766421,"Exp2","Root","NIP",261.166666666667,718.333333333333,344,605,554.5,409.75,"module15"
"module162",-0.871223312984437,9.54058005159926,8.05042927705794,0.0088610136151392,0.0531660816908352,"Exp2","Root","NIP",36.3333333333333,116.666666666667,28.8333333333333,64.3333333333333,84.25,38.8333333333333,"module16"
"module172",-0.0650922094357481,13.4728288654654,0.0668444926121622,0.798090811366903,0.920874013115657,"Exp2","Root","NIP",868.833333333333,1169.16666666667,699.5,963.666666666667,971.666666666667,878.916666666667,"module17"
"module202",0.819610974583125,10.7973842091215,11.129458714573,0.00264134572134813,0.0342915158572009,"Exp2","Root","NIP",149.833333333333,155.333333333333,114.666666666667,144.333333333333,105.833333333333,176.25,"module20"
"module192",1.54973682175529,13.0757235918046,10.4363881574378,0.00342915158572009,0.0342915158572009,"Exp2","Root","NIP",469.166666666667,494.833333333333,854.333333333333,678.833333333333,331.916666666667,916.666666666667,"module19"
"module232",0.0127866958080107,9.28727515127187,0.00102409182335852,0.974723375517966,0.974723375517966,"Exp2","Root","NIP",62.1666666666667,95.5,34.6666666666667,17.6666666666667,55.75,49.25,"module23"
